,id,id_gen,entity,relation,value,probability,source,action,iteration,entity_words,value_word,entity_letters,value_letters,has_probability,e_generalizations,e_instancetype,e_populate,e_antireflexive,e_antisymmetric,e_range,v_generalizations,v_instancetype,v_populate,v_antireflexive,v_antisymmetric,v_range,label
16,81427,x1086002853,eli_manning,athleteplayssport,football,-1,None,yathleteplayssport;sport;sport,1085,2,1,10,8,0,None,None,None,None,None,None,None,None,None,None,None,None,1
17,95678,x396000263,huston_street,athleteplayssport,baseball,-1,None,yathleteplayssport;athlete;sport,368,2,1,12,8,0,None,None,None,None,None,None,None,None,None,None,None,None,1
18,101607,x402002200,kobe_bryant,athleteplayssport,basketball,-1,None,yplayers;hobby;hobby,366,2,1,10,10,0,None,None,None,None,None,None,None,None,None,None,None,None,1
19,113557,x423000366,lebron_james,athleteplaysinleague,nba,-1,None,yathleteplaysinleague;male;sportsleague,421,2,1,11,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
20,113558,x423000367,lebron_james,athleteplayssport,basketball,-1,None,yathleteplayssport;male;sport,421,2,1,11,10,0,None,None,None,None,None,None,None,None,None,None,None,None,1
21,115100,x423001909,football,generalizations,hobby,-1,None,yhobby,409,1,1,8,5,0,None,None,None,None,None,None,abstractthing,all,TRUE,None,None,None,1
22,118178,x429000328,yogi_berra,athleteplaysforteam,new_york_university,-1,None,nathleteplaysforteam;athlete;sportsteam,427,2,3,9,17,0,None,None,None,None,None,None,None,None,None,None,None,None,0
23,127403,x438001522,ray_allen,athleteplaysforteam,celtics,-1,None,yathleteplaysforteam;athlete;sportsteam,436,2,1,8,7,0,None,None,None,None,None,None,None,None,None,None,None,None,1
24,129434,x441001962,wayne_gretzky,athleteplaysforteam,edmonton_oilers,-1,None,nathleteplaysforteam;athlete;sportsteam,434,2,2,12,14,0,None,None,None,None,None,None,None,None,None,None,None,None,0
25,134213,x447003260,pau_gasol,athleteplaysforteam,minneapolis_lakers,-1,None,nathleteplaysforteam;personmexico;sportsteam,445,2,2,8,17,0,None,None,None,None,None,None,None,None,None,None,None,None,0
26,139579,x456000153,yao_ming,athleteplayssport,basketball,-1,None,yplayers;sport;sport,446,2,1,7,10,0,None,None,None,None,None,None,None,None,None,None,None,None,1
27,139580,x456000154,allen_iverson,athleteplayssport,basketball,-1,None,yplayers;sport;sport,445,2,1,12,10,0,None,None,None,None,None,None,None,None,None,None,None,None,1
28,141424,x456001998,alexander_ovechkin,athleteplayssport,hockey,-1,None,yplayers;sport;sport,454,2,1,17,6,0,None,None,None,None,None,None,None,None,None,None,None,None,1
29,141425,x456001999,sidney_crosby,athleteplayssport,hockey,-1,None,yplayers;sport;sport,454,2,1,12,6,0,None,None,None,None,None,None,None,None,None,None,None,None,1
30,142331,x459000903,greg_oden,athleteplaysforteam,trail_blazers,-1,None,yteammember;sportsteam;sportsteam,454,2,2,8,12,0,None,None,None,None,None,None,None,None,None,None,None,None,1
31,158545,x477001858,kobe_bryant,athleteplaysforteam,los_angeles_lakers,-1,None,yathleteplaysforteam;athlete;sportsteam,473,2,3,10,16,0,None,None,None,None,None,None,None,None,None,None,None,None,1
32,165171,x486002566,kobe_bryant,athleteplaysinleague,nba,-1,None,yathleteplaysinleague;personmexico;sportsleague,484,2,1,10,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
33,186068,x516002047,dwayne_roloson,athleteplaysinleague,nhl,-1,None,yathleteplaysinleague;athlete;sportsleague,509,2,1,13,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
34,189062,x522000488,randy_moss,athleteplayssport,football,-1,None,yathleteplayssport;athlete;sport,517,2,1,9,8,0,None,None,None,None,None,None,None,None,None,None,None,None,1
35,191808,x525000527,matt_treanor,athleteplaysinleague,mlb,-1,None,yathleteplaysinleague;personmexico;sportsleague,520,2,1,11,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
36,210628,x543000544,ivan_rodriguez,athleteplaysinleague,mlb,-1,None,yathleteplaysinleague;athlete;sportsleague,536,2,1,13,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
37,218077,x549002524,baseball,generalizations,hobby,-1,None,yhobby,302,1,1,8,5,0,None,None,None,None,None,None,abstractthing,all,TRUE,None,None,None,1
38,235563,x567002929,yogi_berra,athleteplaysinleague,mlb,-1,None,yathleteplaysinleague;athlete;sportsleague,563,2,1,9,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
39,246233,x579000476,joe_dimaggio,athleteplaysforteam,yankees,-1,None,yathleteplaysforteam;athlete;sportsteam,214,2,1,11,7,0,None,None,None,None,None,None,None,None,None,None,None,None,1
40,292911,x612002974,michael_cuddyer,athleteplayssport,baseball,-1,None,yathleteplayssport;athlete;sport,604,2,1,14,8,0,None,None,None,None,None,None,None,None,None,None,None,None,1
41,299597,x621002193,danny_granger,athleteplaysforteam,south_carolina_aiken_pacers,-1,None,nathleteplaysforteam;athlete;sportsteam,616,2,4,12,24,0,None,None,None,None,None,None,None,None,None,None,None,None,0
42,302806,x627000830,wayne_gretzky,athleteplaysinleague,nfl,-1,None,nathleteplaysinleague;athlete;sportsleague,626,2,1,12,3,0,None,None,None,None,None,None,None,None,None,None,None,None,0
43,328584,x648000584,matt_ryan,athleteplaysinleague,nfl,-1,None,yathleteplaysinleague;athlete;sportsleague,647,2,1,8,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
44,347262,x663003378,kurt_warner,athleteplaysinleague,nfl,-1,None,yathleteplaysinleague;athlete;sportsleague,661,2,1,10,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
45,352211,x702000413,tim_lincecum,athleteplaysinleague,nfl,-1,None,nathleteplaysinleague;athlete;sportsleague,701,2,1,11,3,0,None,None,None,None,None,None,None,None,None,None,None,None,0
46,363059,x723001529,jeff_suppan,athleteplaysinleague,nfl,-1,None,nathleteplaysinleague;coach;sportsleague,721,2,1,10,3,0,None,None,None,None,None,None,None,None,None,None,None,None,0
47,363065,x723001535,jeff_suppan,athleteplayssport,football,-1,None,nathleteplayssport;coach;sport,721,2,1,10,8,0,None,None,None,None,None,None,None,None,None,None,None,None,0
48,363086,x723001556,jeff_suppan,athleteplaysforteam,milwaukee_brewers,-1,None,yathleteplaysforteam;coach;sportsteam,721,2,2,10,16,0,None,None,None,None,None,None,None,None,None,None,None,None,1
49,369287,x735000500,cristiano_ronaldo,athleteplayssport,soccer,-1,None,yathleteplayssport;sport;sport,734,2,1,16,6,0,None,None,None,None,None,None,None,None,None,None,None,None,1
50,390156,x756004299,matt_forte,athleteplaysforteam,chicago_bears,-1,None,yathleteplaysforteam;athlete;sportsteam,755,2,2,9,12,0,None,None,None,None,None,None,None,None,None,None,None,None,1
51,399321,x765001015,todd_bertuzzi,athleteplayssport,hockey,-1,None,yathleteplayssport;sport;sport,763,2,1,12,6,0,None,None,None,None,None,None,None,None,None,None,None,None,1
52,399322,x765001016,darren_collison,athleteplayssport,hockey,-1,None,nathleteplayssport;sport;sport,763,2,1,14,6,0,None,None,None,None,None,None,None,None,None,None,None,None,0
53,413026,x774000040,aaron_rodgers,athleteplaysinleague,nfl,-1,None,yathleteplaysinleague;athlete;sportsleague,773,2,1,12,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
54,417737,x786001207,cristiano_ronaldo,athleteplaysforteam,man_united,-1,None,nathleteplaysforteam;athlete;sportsteam,785,2,2,16,9,0,None,None,None,None,None,None,None,None,None,None,None,None,0
55,417739,x786001209,cristiano_ronaldo,athleteplaysinleague,nba,-1,None,nathleteplaysinleague;athlete;sportsleague,785,2,1,16,3,0,None,None,None,None,None,None,None,None,None,None,None,None,0
56,420606,x792000680,c_c__sabathia,athleteplayssport,baseball,-1,None,yathleteplayssport;athlete;sport,791,4,1,10,8,0,None,None,None,None,None,None,None,None,None,None,None,None,1
57,420607,x792000681,c_c__sabathia,athleteplaysinleague,mlb,-1,None,yathleteplaysinleague;athlete;sportsleague,791,4,1,10,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
58,444925,x816002958,randy_winn,athleteplaysinleague,nfl,-1,None,nathleteplaysinleague;athlete;sportsleague,814,2,1,9,3,0,None,None,None,None,None,None,None,None,None,None,None,None,0
59,444932,x816002965,jay_cutler,athleteplayssport,football,-1,None,yathleteplayssport;athlete;sport,814,2,1,9,8,0,None,None,None,None,None,None,None,None,None,None,None,None,1
60,445645,x816003678,eli_manning,athleteplaysinleague,nfl,-1,None,yathleteplaysinleague;athlete;sportsleague,814,2,1,10,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
61,487308,x858000519,lamar_odom,athleteplaysinleague,nba,-1,None,yathleteplaysinleague;athlete;sportsleague,857,2,1,9,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
62,518460,x888000976,ryan_ludwick,athleteplaysinleague,nfl,-1,None,yathleteplaysinleague;athlete;sportsleague,886,2,1,11,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
63,572468,x924001429,albert_pujols,athleteplaysforteam,st___louis_cardinals,-1,None,nathleteplaysforteam;athlete;sportsteam,923,2,5,12,16,0,None,None,None,None,None,None,None,None,None,None,None,None,0
64,572479,x924001440,david_eckstein,athleteplaysinleague,nfl,-1,None,nathleteplaysinleague;athlete;sportsleague,923,2,1,13,3,0,None,None,None,None,None,None,None,None,None,None,None,None,0
65,595994,x948000254,jay_cutler,athleteplaysinleague,nfl,-1,None,yathleteplaysinleague;athlete;sportsleague,947,2,1,9,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
66,617346,x975002632,dwyane_wade,athleteplaysforteam,heat,-1,None,y;athlete;sportsteam,974,2,1,10,4,0,None,None,None,None,None,None,None,None,None,None,None,None,1
67,617353,x975002639,ian_kinsler,athleteplaysforteam,new_york_jets,-1,None,y;personus;sportsteam,974,2,3,10,11,0,None,None,None,None,None,None,None,None,None,None,None,None,1
68,629424,x987000902,brett_favre,athleteplaysinleague,nfl,-1,None,yathleteplaysinleague;athlete;sportsleague,986,2,1,10,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
69,649996,x191000280,david_wright,athleteplayssport,baseball,-1,None,-athleteplayssport;personaustralia;sport,162,2,1,11,8,0,None,None,None,None,None,None,None,None,None,None,None,None,0
70,649997,x191000281,chris_davis,athleteplayssport,hockey,-1,None,-athleteplayssport;personeurope;sport,162,2,1,10,6,0,None,None,None,None,None,None,None,None,None,None,None,None,0
71,649998,x191000282,russell_martin,athleteplayssport,baseball,-1,None,-1personaustralia,162,2,1,13,8,0,None,None,None,None,None,None,None,None,None,None,None,None,0
72,649999,x191000283,david_murphy,athleteplayssport,hockey,-1,None,-athleteplayssport;personaustralia;sport,162,2,1,11,6,0,None,None,None,None,None,None,None,None,None,None,None,None,0
73,650330,x191000614,noah_lowry,athleteplaysinleague,nfl,-1,None,#NAME?,167,2,1,9,3,0,None,None,None,None,None,None,None,None,None,None,None,None,0
74,655135,x217000241,jason_vargas,athleteplaysforteam,new_york_mets,-1,None,yathleteplaysforteam;athlete;sportsteam,214,2,3,11,11,0,None,None,None,None,None,None,None,None,None,None,None,None,1
75,655291,x217000397,alex_rodriguez,athleteplayssport,baseball,-1,None,yplayers;sport;athlete,215,2,1,13,8,0,None,None,None,None,None,None,None,None,None,None,None,None,1
76,659155,x223000160,zack_greinke,athleteplayssport,baseball,-1,None,yathleteplayssport;athlete;sport,214,2,1,11,8,0,None,None,None,None,None,None,None,None,None,None,None,None,1
77,666691,x234001860,chan_ho_park,athleteplaysforteam,l_a__dodgers,-1,None,nathleteplaysforteam;athlete;sportsteam,227,3,4,10,9,0,None,None,None,None,None,None,None,None,None,None,None,None,0
78,672357,x249000329,francisco_cordero,athleteplayssport,baseball,-1,None,yathleteplayssport;athlete;sport,241,2,1,16,8,0,None,None,None,None,None,None,None,None,None,None,None,None,1
79,713342,x360001595,sidney_crosby,athleteplaysinleague,nhl,-1,None,yathleteplaysinleague;athlete;sportsleague,357,2,1,12,3,0,None,None,None,None,None,None,None,None,None,None,None,None,1
80,734847,x100000987,alexander_ovechkin,athleteplaysforteam,capitals,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,1,17,8,1,None,None,None,None,None,None,None,None,None,None,None,None,1
81,734848,x100000988,kevin_garnett,athleteplaysforteam,celtics,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,1,12,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
82,734849,x100000989,peyton_manning,athleteplaysforteam,colts,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,1,13,5,1,None,None,None,None,None,None,None,None,None,None,None,None,1
83,734850,x100000990,martin_brodeur,athleteplaysforteam,devils,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,1,13,6,1,None,None,None,None,None,None,None,None,None,None,None,None,1
84,734851,x100000991,eli_manning,athleteplaysforteam,giants,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,1,10,6,1,None,None,None,None,None,None,None,None,None,None,None,None,1
85,734852,x100000992,deron_williams,athleteplaysforteam,jazz,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,1,13,4,1,None,None,None,None,None,None,None,None,None,None,None,None,1
86,734853,x100000993,kobe_bryant,athleteplaysforteam,lakers,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,1,10,6,1,None,None,None,None,None,None,None,None,None,None,None,None,1
87,734854,x100000994,dwight_howard,athleteplaysforteam,magic,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,1,12,5,1,None,None,None,None,None,None,None,None,None,None,None,None,1
88,734855,x100000995,ichiro_suzuki,athleteplaysforteam,mariners,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,1,12,8,1,None,None,None,None,None,None,None,None,None,None,None,None,1
89,734856,x100000996,sidney_crosby,athleteplaysforteam,penguins,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,1,12,8,1,None,None,None,None,None,None,None,None,None,None,None,None,1
90,734857,x100000997,allen_iverson,athleteplaysforteam,pistons,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,1,12,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
91,734858,x100000998,nicklas_lidstrom,athleteplaysforteam,red_wings,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,2,15,8,1,None,None,None,None,None,None,None,None,None,None,None,None,1
92,734859,x100000999,reggie_bush,athleteplaysforteam,saints,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,1,10,6,1,None,None,None,None,None,None,None,None,None,None,None,None,1
93,734860,x100001000,jim_thome,athleteplaysforteam,white_sox,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,2,8,8,1,None,None,None,None,None,None,None,None,None,None,None,None,1
94,734861,x100001001,alex_rodriguez,athleteplaysforteam,yankees,1,"[tsv_to_m_relation-Iter:0-seed, NELLDefinition]",None,0,2,1,13,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
95,734862,x100001002,ben_gordon,athleteplaysforteam,bulls,0.875,"[MBL-Iter:2-2010/01/12-13:13:17-From ErrorBasedIntegrator (SEAL,CBL)]",None,2,2,1,9,5,1,None,None,None,None,None,None,None,None,None,None,None,None,1
96,734864,x100001004,rasheed_wallace,athleteplaysforteam,pistons,0.9375,"[MBL-Iter:2-2010/01/12-13:13:17-From ErrorBasedIntegrator (SEAL,CBL)]",None,2,2,1,14,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
97,734865,x100001005,tony_parker,athleteplaysforteam,spurs,0.9375,"[MBL-Iter:2-2010/01/12-13:13:17-From ErrorBasedIntegrator (SEAL,CBL)]",None,2,2,1,10,5,1,None,None,None,None,None,None,None,None,None,None,None,None,1
98,734866,x100001006,albert_pujols,athleteplaysforteam,cardinals,0.75,"[MBL-Iter:3-2010/01/12-15:33:05-From ErrorBasedIntegrator (SEAL,CBL)]",None,3,2,1,12,9,1,None,None,None,None,None,None,None,None,None,None,None,None,1
99,734867,x100001007,paul_pierce,athleteplaysforteam,celtics,0.984375,"[MBL-Iter:3-2010/01/12-15:33:05-From ErrorBasedIntegrator (SEAL,CBL)]",None,3,2,1,10,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
100,734868,x100001008,chris_paul,athleteplaysforteam,hornets,0.984375,"[MBL-Iter:4-2010/01/12-18:37:49-From ErrorBasedIntegrator (SEAL,CBL)]",None,4,2,1,9,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
101,734869,x100001009,tim_duncan,athleteplaysforteam,spurs,0.875,"[MBL-Iter:4-2010/01/12-18:37:49-From ErrorBasedIntegrator (SEAL,CBL)]",None,4,2,1,9,5,1,None,None,None,None,None,None,None,None,None,None,None,None,1
102,734870,x100001010,lebron_james,athleteplaysforteam,cleveland_cavaliers,0.9375,"[MBL-Iter:2-2010/01/12-13:13:17-From ErrorBasedIntegrator (SEAL,CBL), MBL-Iter:5-2010/01/12-21:41:28-From ErrorBasedIntegrator (CBL)]",None,5,2,2,11,18,1,None,None,None,None,None,None,None,None,None,None,None,None,1
103,734871,x100001011,jason_kidd,athleteplaysforteam,nets,0.96875,"[MBL-Iter:4-2010/01/12-18:37:49-From ErrorBasedIntegrator (SEAL,CBL), MBL-Iter:5-2010/01/12-21:41:28-From ErrorBasedIntegrator (SEAL,CBL)]",None,5,2,1,9,4,1,None,None,None,None,None,None,None,None,None,None,None,None,1
104,734872,x100001012,carmelo_anthony,athleteplaysforteam,nuggets,0.96875,"[MBL-Iter:5-2010/01/12-21:41:28-From ErrorBasedIntegrator (SEAL,CBL)]",None,5,2,1,14,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
105,734873,x100001013,amare_stoudemire,athleteplaysforteam,suns,0.875,"[MBL-Iter:5-2010/01/12-21:41:28-From ErrorBasedIntegrator (SEAL,CBL)]",None,5,2,1,15,4,1,None,None,None,None,None,None,None,None,None,None,None,None,1
106,734874,x100001014,baron_davis,athleteplaysforteam,clippers,0.96875,[MBL-Iter:6-2010/01/13-01:10:31-From ErrorBasedIntegrator (CBL)],None,6,2,1,10,8,1,None,None,None,None,None,None,None,None,None,None,None,None,1
107,734875,x100001015,chauncey_billups,athleteplaysforteam,pistons,0.96875,[MBL-Iter:6-2010/01/13-01:10:31-From ErrorBasedIntegrator (CBL)],None,6,2,1,15,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
108,734876,x100001016,tracy_mcgrady,athleteplaysforteam,rockets,0.984375,[MBL-Iter:6-2010/01/13-01:10:31-From ErrorBasedIntegrator (CBL)],None,6,2,1,12,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
109,734877,x100001017,yao_ming,athleteplaysforteam,rockets,0.9375,"[MBL-Iter:6-2010/01/13-01:10:31-From ErrorBasedIntegrator (SEAL,CBL)]",None,6,2,1,7,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
110,734878,x100001018,lance_berkman,athleteplaysforteam,astros,0.875,"[MBL-Iter:7-2010/01/13-05:22:49-From ErrorBasedIntegrator (SEAL,CBL)]",None,7,2,1,12,6,1,None,None,None,None,None,None,None,None,None,None,None,None,1
111,734879,x100001019,alfonso_soriano,athleteplaysforteam,cubs,0.75,"[MBL-Iter:7-2010/01/13-05:22:49-From ErrorBasedIntegrator (SEAL,CBL)]",None,7,2,1,14,4,1,None,None,None,None,None,None,None,None,None,None,None,None,1
112,734880,x100001020,david_ortiz,athleteplaysforteam,red_sox,0.875,"[MBL-Iter:7-2010/01/13-05:22:49-From ErrorBasedIntegrator (SEAL,CBL)]",None,7,2,2,10,6,1,None,None,None,None,None,None,None,None,None,None,None,None,1
113,734881,x100001021,kevin_youkilis,athleteplaysforteam,red_sox,0.875,"[MBL-Iter:7-2010/01/13-05:22:49-From ErrorBasedIntegrator (SEAL,CBL)]",None,7,2,2,13,6,1,None,None,None,None,None,None,None,None,None,None,None,None,1
114,734882,x100001022,derek_jeter,athleteplaysforteam,yankees,0.9375,"[MBL-Iter:7-2010/01/13-05:22:49-From ErrorBasedIntegrator (SEAL,CBL)]",None,7,2,1,10,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
115,734883,x100001023,ray_allen,athleteplaysforteam,boston_celtics,0.9375,"[MBL-Iter:2-2010/01/12-13:13:17-From ErrorBasedIntegrator (SEAL,CBL), MBL-Iter:8-2010/01/13-09:06:24-From ErrorBasedIntegrator (CBL)]",None,8,2,2,8,13,1,None,None,None,None,None,None,None,None,None,None,None,None,1
116,734884,x100001024,carlos_boozer,athleteplaysforteam,jazz,0.9375,[MBL-Iter:8-2010/01/13-09:06:24-From ErrorBasedIntegrator (CBL)],None,8,2,1,12,4,1,None,None,None,None,None,None,None,None,None,None,None,None,1
117,734885,x100001025,lamar_odom,athleteplaysforteam,lakers,0.984375,[MBL-Iter:8-2010/01/13-09:06:24-From ErrorBasedIntegrator (CBL)],None,8,2,1,9,6,1,None,None,None,None,None,None,None,None,None,None,None,None,1
118,734886,x100001026,dirk_nowitzki,athleteplaysforteam,mavericks,0.984375,"[MBL-Iter:8-2010/01/13-09:06:24-From ErrorBasedIntegrator (SEAL,CBL)]",None,8,2,1,12,9,1,None,None,None,None,None,None,None,None,None,None,None,None,1
119,734887,x100001027,miguel_tejada,athleteplaysforteam,astros,0.9375,"[MBL-Iter:9-2010/01/13-14:06:24-From ErrorBasedIntegrator (SEAL,CBL)]",None,9,2,1,12,6,1,None,None,None,None,None,None,None,None,None,None,None,None,1
120,734888,x100001028,derrek_lee,athleteplaysforteam,cubs,0.75,"[MBL-Iter:9-2010/01/13-14:06:24-From ErrorBasedIntegrator (SEAL,CBL)]",None,9,2,1,9,4,1,None,None,None,None,None,None,None,None,None,None,None,None,1
121,734889,x100001029,j_d__drew,athleteplaysforteam,red_sox,0.9375,"[MBL-Iter:9-2010/01/13-14:06:24-From ErrorBasedIntegrator (SEAL,CBL)]",None,9,4,2,6,6,1,None,None,None,None,None,None,None,None,None,None,None,None,1
122,734890,x100001030,jermaine_dye,athleteplaysforteam,white_sox,0.9375,"[MBL-Iter:9-2010/01/13-14:06:24-From ErrorBasedIntegrator (SEAL,CBL)]",None,9,2,2,11,8,1,None,None,None,None,None,None,None,None,None,None,None,None,1
123,734891,x100001031,jason_giambi,athleteplaysforteam,yankees,0.9375,[MBL-Iter:9-2010/01/13-14:06:24-From ErrorBasedIntegrator (CBL)],None,9,2,1,11,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
124,734892,x100001032,manny_ramirez,athleteplaysforteam,dodgers,0.996094,"[MBL-Iter:7-2010/01/13-05:22:49-From ErrorBasedIntegrator (CBL), MBL-Iter:9-2010/01/13-14:06:24-From ErrorBasedIntegrator (CBL), MBL-Iter:10-2010/01/13-20:02:17-From ErrorBasedIntegrator (SEAL,CBL)]",None,10,2,1,12,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
125,734893,x100001033,rafael_furcal,athleteplaysforteam,dodgers,0.9375,[MBL-Iter:11-2010/01/14-16:46:48-From ErrorBasedIntegrator (CBL)],None,11,2,1,12,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
126,734894,x100001034,adam_dunn,athleteplaysforteam,reds,0.9375,[MBL-Iter:11-2010/01/14-16:46:48-From ErrorBasedIntegrator (CBL)],None,11,2,1,8,4,1,None,None,None,None,None,None,None,None,None,None,None,None,1
127,734895,x100001035,barry_bonds,athleteplaysforteam,san_francisco_giants,0.9375,[MBL-Iter:11-2010/01/14-16:46:48-From ErrorBasedIntegrator (CBL)],None,11,2,3,10,18,1,None,None,None,None,None,None,None,None,None,None,None,None,1
128,734896,x100001036,josh_smith,athleteplaysforteam,hawks,0.996094,"[MBL-Iter:13-2010/01/15-05:49:01-From ErrorBasedIntegrator (SEAL,CBL)]",None,13,2,1,9,5,1,None,None,None,None,None,None,None,None,None,None,None,None,1
129,734897,x100001037,shaq,athleteplaysforteam,heat,0.9375,[MBL-Iter:13-2010/01/15-05:49:01-From ErrorBasedIntegrator (CBL)],None,13,1,1,4,4,1,None,None,None,None,None,None,None,None,None,None,None,None,1
130,734898,x100001038,julius_erving,athleteplaysforteam,nets,0.9375,[MBL-Iter:13-2010/01/15-05:49:01-From ErrorBasedIntegrator (CBL)],None,13,2,1,12,4,1,None,None,None,None,None,None,None,None,None,None,None,None,1
131,734899,x100001039,johnny_damon,athleteplaysforteam,yankees,0.9375,[MBL-Iter:13-2010/01/15-05:49:01-From ErrorBasedIntegrator (CBL)],None,13,2,1,11,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
132,734900,x100001040,tayshaun_prince,athleteplaysforteam,pistons,0.992188,[MBL-Iter:14-2010/01/15-13:57:39-From ErrorBasedIntegrator (CBL)],None,14,2,1,14,7,1,None,None,None,None,None,None,None,None,None,None,None,None,1
